,event,cycle,loc,transaction,src,src_index,dst,dst_index,req,cacheLine,reqAddr,data,size,tran_id,cpuID,mshrSize,ICacheState,NCacheState,hit-miss,type-op
2173,Send,399000,l1cache_1,ReadUnique,l1cache_1,1,l2cache_1,2,-,0x2ac0,0x2aec,-,64,419,419,-,-,-,-,-
2174,Send,399000,l1cache_1,CompData,l1cache_1,1,memHierarchyTester,0,-,0x3c0,0x3f8,-,1,324,324,-,-,-,-,-
2175,Send,399000,l1cache_1,CompData,l1cache_1,1,memHierarchyTester,0,-,0x3c0,0x3f4,-,1,359,359,-,-,-,-,-
2176,Send,400000,l2cache_1,ReadNotSD,l2cache_1,2,dc0,3,-,0x3fc0,0x3fec,-,64,413,413,-,-,-,-,-
2177,New,400000,l2cache_1,ReadUnique,l1cache_1,1,l2cache_1,2,l1cache_1,0x2ac0,0x2aec,F,64,419,419,26,I,IUD,miss,Forward
2178,Send,400000,l2cache_0,SnpRespData,l2cache_0,2,dc0,3,-,0x27c0,0x27e8,-,64,362,362,-,-,-,-,-
2179,Retry,400000,l2cache_0,SnpUnique,dc2,3,l2cache_0,2,l1cache_1,0xbc0,0xbe8,F,64,385,385,22,UC,I,-,Respond
2180,Send,400000,l2cache_2,CompData,l2cache_2,2,l1cache_2,1,-,0x56c0,0x56ec,-,64,156,156,-,-,-,-,-
2181,Send,400000,l2cache_2,SnpUnique,l2cache_2,2,l1cache_2,1,-,0x56c0,-,-,64,417,417,-,-,-,-,-
2182,New,400000,l2cache_2,SnpRespData,l1cache_2,1,l2cache_2,2,l1cache_1,0x16c0,-,T,64,400,400,28,UD_InvX,UD,-,Retry
2183,New,400000,l2cache_2,CompData,dc1,3,l2cache_2,2,l1cache_2,0x3ac0,0x3aec,T,64,298,298,,,,,
2184,New,400000,l2cache_2,ReadUnique,l1cache_2,1,l2cache_2,2,l1cache_2,0x7c0,0x7e8,F,64,418,418,29,I,IUD,miss,Forward
2185,New,400000,l2cache_2,SnpNotSDFwd,dc1,3,l2cache_2,2,l1cache_1,0x25c0,0x25ec,F,64,398,398,,,,,
2186,New,400000,dc2,SnpRespData,l2cache_1,2,dc2,3,l1cache_0,0x59c0,0x59e9,T,64,348,348,,,,,
2187,New,400000,dc0,CompData,memory0,4,dc0,3,l1cache_1,0x21c0,0x21e8,T,64,126,126,,,,,
2188,Send,400000,l1cache_0,SnpRespData,l1cache_0,1,l2cache_0,2,-,0x2ec0,-,-,64,410,410,-,-,-,-,-
2189,New,401000,l1cache_2,CompData,l2cache_2,2,l1cache_2,1,l1cache_2,0x56c0,0x56ec,T,64,156,156,38,IUD,UD,-,Respond
2190,New,401000,l1cache_2,SnpUnique,l2cache_2,2,l1cache_2,1,l1cache_1,0x56c0,-,F,64,417,417,,,,,
2191,New,402000,l2cache_1,CompData,dc2,3,l2cache_1,2,l1cache_1,0x440,0x450,T,64,158,158,25,IUD,UD,-,Respond
2192,New,402000,l2cache_0,SnpRespData,l1cache_0,1,l2cache_0,2,l1cache_2,0x2ec0,-,T,64,410,410,22,UC_InvX,UD,-,Retry
2193,Send,402000,l2cache_2,SnpUnique,l2cache_2,2,l1cache_2,1,-,0x3ec0,-,-,64,420,420,-,-,-,-,-
2194,Retry,402000,l2cache_2,SnpNotSDFwd,dc1,3,l2cache_2,2,l1cache_1,0x16c0,0x16ec,F,64,372,372,28,UD,SC,-,Respond
2195,New,402000,l2cache_2,CompData,dc1,3,l2cache_2,2,l1cache_2,0x3ac0,0x3aec,T,64,298,298,,,,,
2196,New,402000,l2cache_2,SnpNotSDFwd,dc1,3,l2cache_2,2,l1cache_1,0x25c0,0x25ec,F,64,398,398,29,UC,UC_InvX,Dgr owner,Stall
2197,New,402000,l2cache_2,SnpUnique,dc0,3,l2cache_2,2,l1cache_0,0xcc0,0xce8,F,64,393,393,,,,,
2198,Retry,402000,dc2,ReadUnique,l2cache_0,2,dc2,3,l1cache_0,0x59c0,0x59e9,F,64,323,323,,,,,
2199,New,402000,l1cache_0,ReadUnique,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x400,0x408,T,1,423,423,26,ISC,ISC,MSHR conflict,Stall
2200,Send,402000,l1cache_1,CompData,l1cache_1,1,memHierarchyTester,0,-,0x3c0,0x3f1,-,1,363,363,-,-,-,-,-
2201,New,402000,l1cache_2,SnpUnique,l2cache_2,2,l1cache_2,1,l1cache_1,0x56c0,-,F,64,417,417,,UD,I,-,Respond
2202,Send,403000,l1cache_0,CompData,l1cache_0,1,memHierarchyTester,0,-,0x51c0,0x51e8,-,1,196,196,-,-,-,-,-
2203,New,403000,l1cache_2,SnpUnique,l2cache_2,2,l1cache_2,1,l1cache_1,0x3ec0,-,F,64,420,420,,UD,I,-,Respond
2204,Send,404000,l2cache_1,ReadUnique,l2cache_1,2,dc0,3,-,0x2ac0,0x2aec,-,64,419,419,-,-,-,-,-
2205,Retry,404000,l2cache_0,SnpNotSDFwd,dc1,3,l2cache_0,2,l1cache_2,0x2ec0,0x2ee8,F,64,381,381,21,UD,SC,-,Respond
2206,New,404000,l2cache_0,SnpUnique,dc0,3,l2cache_0,2,l1cache_2,0x42c0,0x42e9,F,64,397,397,,,,,
2207,Send,404000,l2cache_2,ReadUnique,l2cache_2,2,dc1,3,-,0x7c0,0x7e8,-,64,418,418,-,-,-,-,-
2208,New,404000,l2cache_2,CompData,dc1,3,l2cache_2,2,l1cache_2,0x3ac0,0x3aec,T,64,298,298,28,IUD,UD,-,Respond
2209,New,404000,l2cache_2,SnpUnique,dc0,3,l2cache_2,2,l1cache_0,0xcc0,0xce8,F,64,393,393,,,,,
2210,New,404000,dc2,FlushLine,l2cache_2,2,dc2,3,l1cache_2,0x8c0,0x8ec,F,0,195,195,,,,,
2211,New,404000,l1cache_2,ReadNotSD,memHierarchyTester,0,l1cache_2,1,l1cache_2,0x41c0,0x41ec,F,1,425,425,39,I,ISC,miss,Forward
2212,Send,405000,l1cache_2,ReadNotSD,l1cache_2,1,l2cache_2,2,-,0x41c0,0x41ec,-,64,425,425,-,-,-,-,-
2213,Send,405000,l1cache_2,CompData,l1cache_2,1,memHierarchyTester,0,-,0x56c0,0x56ec,-,1,156,156,-,-,-,-,-
2214,New,405000,l1cache_1,ReadUnique,memHierarchyTester,0,l1cache_1,1,l1cache_1,0x1ac0,0x1ae8,T,1,427,427,32,I,IUD,miss,Forward
2215,New,406000,l2cache_1,SnpUnique,dc2,3,l2cache_1,2,l1cache_2,0x440,0x454,F,64,414,414,26,UD,UD_Inv,Inv owner,Stall
2216,New,406000,l2cache_0,SnpUnique,dc0,3,l2cache_0,2,l1cache_2,0x42c0,0x42e9,F,64,397,397,22,UD,UD_Inv,Inv owner,Stall
2217,New,406000,l2cache_0,CompData,dc0,3,l2cache_0,2,l1cache_0,0x9c0,0x9e8,T,64,105,105,21,IUD,UD,-,Respond
2218,New,406000,l2cache_0,Inv,dc1,3,l2cache_0,2,l1cache_1,0x3dc0,-,F,64,406,102,,,,,
2219,Send,406000,l2cache_2,SnpResp,l2cache_2,2,dc1,3,-,0x16c0,0x16ec,-,64,372,372,-,-,-,-,-
2220,Send,406000,l2cache_2,SnpNotSDFwd,l2cache_2,2,l1cache_2,1,-,0x25c0,-,-,64,424,424,-,-,-,-,-
2221,New,406000,l2cache_2,SnpUnique,dc0,3,l2cache_2,2,l1cache_0,0xcc0,0xce8,F,64,393,393,29,UC,UC_Inv,Inv owner,Stall
2222,New,406000,l2cache_2,CompData,dc0,3,l2cache_2,2,l1cache_2,0x6c0,0x6ec,F,64,345,345,,,,,
2223,New,406000,l2cache_2,ReadNotSD,l1cache_2,1,l2cache_2,2,l1cache_2,0x41c0,0x41ec,F,64,425,425,30,I,ISC,miss,Forward
2224,New,406000,dc2,SnpResp,l2cache_2,2,dc2,3,l1cache_0,0x4ac0,0x4ae8,F,64,376,376,,,,,
2225,New,406000,dc0,SnpRespData,l2cache_0,2,dc0,3,l1cache_1,0x27c0,0x27e8,T,64,362,362,,,,,
2226,Send,406000,l1cache_1,ReadUnique,l1cache_1,1,l2cache_1,2,-,0x1ac0,0x1ae8,-,64,427,427,-,-,-,-,-
2227,New,406000,l1cache_1,ReadNotSD,memHierarchyTester,0,l1cache_1,1,l1cache_1,0x1ec0,0x1eed,F,1,428,428,,UD,UD,hit,Respond
2228,Send,407000,l1cache_2,SnpRespData,l1cache_2,1,l2cache_2,2,-,0x56c0,-,-,64,417,417,-,-,-,-,-
2229,New,407000,l1cache_2,SnpNotSDFwd,l2cache_2,2,l1cache_2,1,l1cache_1,0x25c0,-,F,64,424,424,,UC,SC,-,Respond
2230,New,407000,l1cache_0,ReadUnique,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x28c0,0x28e8,T,1,432,432,27,SC,SCUD,miss,Forward
2231,Send,408000,l2cache_1,CompData,l2cache_1,2,l1cache_1,1,-,0x440,0x450,-,64,158,158,-,-,-,-,-
2232,New,408000,l2cache_1,ReadUnique,l1cache_1,1,l2cache_1,2,l1cache_1,0x1ac0,0x1ae8,F,64,427,427,27,I,IUD,miss,Forward
2233,New,408000,l2cache_1,CompData,dc1,3,l2cache_1,2,l1cache_1,0xac0,0xaec,T,64,136,136,,,,,
2234,Send,408000,l2cache_0,SnpResp,l2cache_0,2,dc1,3,-,0x2ec0,0x2ee8,-,64,381,381,-,-,-,-,-
2235,New,408000,l2cache_0,Inv,dc1,3,l2cache_0,2,l1cache_1,0x3dc0,-,F,64,406,102,22,SC,SC_Inv,Inv sharer,Stall
2236,New,408000,l2cache_2,CompData,dc0,3,l2cache_2,2,l1cache_2,0x6c0,0x6ec,F,64,345,345,29,SCUD,UD,-,Respond
2237,New,408000,l2cache_2,SnpRespData,l1cache_2,1,l2cache_2,2,l1cache_1,0x56c0,-,T,64,417,417,,,,,
